Coin name,Market,Currency,Price,Open 24H,Range 24H
DASH,BTCE,USD,195.91266,195.91266,0
DASH,Poloniex,USD,197.26,194.75,8.49000000
DASH,BitTrex,USD,196.2,194.501,9.82199997
DASH,LiveCoin,USD,194.74477,182,15.2566699
DASH,Cryptsy,USD,2.94999999,2.94999999,0
DASH,Yobit,USD,194.200000,192.989999,14.9999999
DASH,Tidex,WUSD,187.693599,192.991639,6.24762529
DASH,CCEDK,USD,1,1,0
DASH,Kraken,USD,198.99992,193.80001,18.3232099
DASH,CCEX,USD,178.00001,180.001101,7
DASH,Bitfinex,USD,197.4,195.09,10.1700000
DASH,Tidex,WEUR,161.436359,174.482150,13.8489571
DASH,CCEDK,EUR,0.032,0.032,0
DASH,Kraken,EUR,168.79851,164.47708,10.8544899
DASH,BTCE,EUR,171.351,171.351,0
DASH,BTC38,CNY,1328.5,1280,50
DASH,BTER,CNY,1320,1291,70.5
DASH,Exmo,RUB,11141,11000,418.999949
DASH,BTCE,RUB,11810.277,11810.277,0
DASH,Novaexchange,ETH,0.8429234,0.8429234,0
DASH,Liqui,ETH,0.71738329,0.72400396,0.06066277
DASH,CCEX,ETH,2168.99999,2168.99999,0
DASH,HitBTC,ETH,0.700001,0.736045,0.04312199
DASH,BitTrex,ETH,0.73504982,0.75087866,0.05087660
DASH,BTCE,ETH,0.956,0.956,0
DASH,Cryptopia,USDT,198.752,190,14.7520000
DASH,Liqui,USDT,197.823778,193.278734,9.97294935
DASH,Poloniex,XMR,3.82377534,4.05200062,0.29091809
DASH,Yobit,RUR,11684.4993,11599.8799,678.755994
DASH,Novaexchange,LTC,5,5,0
DASH,Cryptsy,LTC,0.8878787,0.8878787,0
DASH,CCEX,LTC,2.32000005,2.32000005,0
DASH,Cryptopia,LTC,4.27,4.26999999,0.27664722
DASH,BTCE,LTC,4.756,4.756,0
DASH,Tidex,WAVES,38.0987,36.2452,3.20139999
DASH,Tidex,WEUR,161.436359,174.482150,13.8489571
DASH,Tidex,WUSD,187.693599,192.991639,6.24762529
DASH,Novaexchange,DOGE,124267.921,124267.921,0
DASH,Cryptopia,DOGE,94686.6936,93570.9095,1115.78401
DASH,CCEX,DOGE,40000.0000,40000.0000,0
DASH,Bleutrade,DOGE,101082.999,94987.5,7082.99999
DASH,CCEDK,DOGE,17245.0000,17245.0000,0
DOGE,Bleutrade,BTC,5.7E-7,5.9E-7,4.99999999
DOGE,LiveCoin,BTC,5.6E-7,5.9E-7,2.99999999
DOGE,Coinse,BTC,6.2E-7,6.2E-7,0
DOGE,BitTrex,BTC,5.7E-7,5.8E-7,3.99999999
DOGE,CCEDK,BTC,3.5E-7,3.5E-7,0
DOGE,Yobit,BTC,5.7E-7,5.9E-7,2.99999999
DOGE,Cryptsy,BTC,4.6E-7,4.6E-7,0
DOGE,Novaexchange,BTC,5.7E-7,5.9E-7,7.99999999
DOGE,TuxExchange,BTC,5.8E-7,7.5E-7,1.70000000
DOGE,BTER,BTC,5.7E-7,5.9E-7,4.99999999
DOGE,BitSquare,BTC,6.5E-7,6.5E-7,0
DOGE,Exmo,BTC,5.6E-7,5.9E-7,3.99999999
DOGE,Tidex,BTC,7.8E-7,7.8E-7,0
DOGE,CCEX,BTC,5.7E-7,5.7E-7,5.99999999
DOGE,Yacuna,BTC,8E-7,8E-7,0
DOGE,Cexio,BTC,3.1E-7,3.1E-7,0
DOGE,Poloniex,BTC,5.7E-7,5.9E-7,3.99999999
DOGE,HitBTC,BTC,5.64E-7,5.84E-7,2.89999999
DOGE,Cryptopia,BTC,5.6E-7,5.9E-7,4.99999999
